value,site_id,site,deck_id,owner_id
https://tappedout.net/mtg-decks/varina-final/,2,TappedOut,NA,NA
https://archidekt.com/decks/345097,1,Archidekt,345097,NA
https://archidekt.com/decks/359594,1,Archidekt,359594,NA
https://archidekt.com/decks/359267,1,Archidekt,359267,NA
https://archidekt.com/decks/387673,1,Archidekt,387673,NA
https://tappedout.net/mtg-decks/ultra-sweaty-angry-woman/,2,TappedOut,NA,NA
https://archidekt.com/decks/220414,1,Archidekt,220414,NA
https://archidekt.com/decks/137174,1,Archidekt,137174,NA
https://archidekt.com/decks/137165,1,Archidekt,137165,NA
https://archidekt.com/decks/105222,1,Archidekt,105222,NA
https://www.archidekt.com/decks/348047,1,Archidekt,348047,NA
http://tappedout.net/mtg-decks/15-01-20-the-hive/,2,TappedOut,NA,NA
https://tappedout.net/mtg-decks/04-02-20-UOK-jund-hydras/,2,TappedOut,NA,NA
https://archidekt.com/decks/256053,1,Archidekt,256053,NA
https://tappedout.net/mtg-decks/zurgo-the-f-smasher/,2,TappedOut,NA,NA
https://deckstats.net/decks/126697/1472140-xenagos/en,3,Deckstats,1472140,126697
https://tappedout.net/mtg-decks/23-01-20-momir-vig-elfball/,2,TappedOut,NA,NA
https://tappedout.net/mtg-decks/did-someone-say-value-muldrotha-edh/,2,TappedOut,NA,NA
https://archidekt.com/decks/375068,1,Archidekt,375068,NA
http://tappedout.net/mtg-decks/krenko-don-of-tin-street,2,TappedOut,NA,NA
http://tappedout.net/mtg-decks/zadas-swarm-1,2,TappedOut,NA,NA
http://tappedout.net/mtg-decks/mina-and-denns-infinite-combat-emporium,2,TappedOut,NA,NA
http://tappedout.net/mtg-decks/arixmethes-awakes,2,TappedOut,NA,NA
http://tappedout.net/mtg-decks/chulanes-hatebear-academy,2,TappedOut,NA,NA
http://tappedout.net/mtg-decks/volrath-mr-steal-yo-girl,2,TappedOut,NA,NA
http://tappedout.net/mtg-decks/12-01-20-sramalamadingdong,2,TappedOut,NA,NA
https://www.archidekt.com/decks/389238,1,Archidekt,389238,NA
https://tappedout.net/mtg-decks/blades-of-heaven-angel-tribal/,2,TappedOut,NA,NA
https://tappedout.net/mtg-decks/ghired-timmy-exile/,2,TappedOut,NA,NA
https://archidekt.com/decks/166476,1,Archidekt,166476,NA
https://tappedout.net/mtg-decks/scion-dial-a-dragon/,2,TappedOut,NA,NA
https://tappedout.net/mtg-decks/31-01-20-karador-edh/,2,TappedOut,NA,NA
http://tappedout.net/mtg-decks/ur-dragons-multiverse-onslaught-primer/,2,TappedOut,NA,NA
https://tappedout.net/mtg-decks/17-06-18-bEx-muldrotha-edh/,2,TappedOut,NA,NA
https://archidekt.com/decks/370765,1,Archidekt,370765,NA
https://tappedout.net/mtg-decks/aggro-edgar-markov-1/,2,TappedOut,NA,NA
https://deckstats.net/decks/127138/1528295-oros-control/en,3,Deckstats,1528295,127138
https://tappedout.net/mtg-decks/14-10-17-unesh-sphinx-tribal/,2,TappedOut,NA,NA
https://archidekt.com/decks/277043,1,Archidekt,277043,NA
https://tappedout.net/mtg-decks/2blue4u/,2,TappedOut,NA,NA
https://tappedout.net/mtg-decks/mycosynth-lattice-has-no-fun-or-fair-applications-1/,2,TappedOut,NA,NA
https://www.mtggoldfish.com/deck/2095588,4,MTG Goldfish,NA,NA
https://tappedout.net/mtg-decks/chu-chu-train-v1/,2,TappedOut,NA,NA
https://www.mtggoldfish.com/deck/2650786,4,MTG Goldfish,NA,NA
http://tappedout.net/mtg-decks/23-05-18-azami-wizards/,2,TappedOut,NA,NA
http://tappedout.net/mtg-decks/rubinia-superfriends-2/,2,TappedOut,NA,NA
http://tappedout.net/mtg-decks/undertow-tatyova/,2,TappedOut,NA,NA
http://tappedout.net/mtg-decks/i-chuse-you-chulane/,2,TappedOut,NA,NA
http://tappedout.net/mtg-decks/23-05-17-rakdos/,2,TappedOut,NA,NA
http://tappedout.net/mtg-decks/kondo-tana-tokens/,2,TappedOut,NA,NA
http://tappedout.net/mtg-decks/10-01-18-endrek-sahr/,2,TappedOut,NA,NA
http://tappedout.net/mtg-decks/they-no-longer-call-me-tim/,2,TappedOut,NA,NA
https://archidekt.com/decks/389296,1,Archidekt,389296,NA
http://tappedout.net/mtg-decks/zoo-crew/,2,TappedOut,NA,NA
http://tappedout.net/mtg-decks/windgrace-lands-tribal,2,TappedOut,NA,NA
http://tappedout.net/mtg-decks/19-01-19-esper-edh,2,TappedOut,NA,NA
http://tappedout.net/mtg-decks/1-800-red-junk,2,TappedOut,NA,NA
http://tappedout.net/mtg-decks/12-03-19-bant-stoneblade,2,TappedOut,NA,NA
http://tappedout.net/mtg-decks/bg-eldrazi-aristocrats-2,2,TappedOut,NA,NA
http://tappedout.net/mtg-decks/20-08-19-bolas-tribal,2,TappedOut,NA,NA
https://tappedout.net/mtg-decks/teferis-temporal-tyranny/,2,TappedOut,NA,NA
http://tappedout.net/mtg-decks/atemsis-drawgo/,2,TappedOut,NA,NA
https://www.mtggoldfish.com/deck/2737522,4,MTG Goldfish,NA,NA
https://deckstats.net/decks/141106/1451745-teysa-karlov-aristocrats/en,3,Deckstats,1451745,141106
